utc_timestamp,DE_LU_price_day_ahead,Is_price_negative,was_negative_1h_ago,wind_expected,solar_expected,DE_temperature,DE_radiation_direct_horizontal,DE_radiation_diffuse_horizontal,hour,weekday,month,hour_sin,hour_cos,residual_load,is_holiday,is_winter,is_summer,price_lag_1h,price_lag_2h,price_lag_3h,price_lag_12h,price_lag_24h,price_lag_48h,price_lag_72h,price_lag_168h,price_lag_336h,price_roll_mean_6h,price_roll_mean_12h,price_roll_mean_24h,price_roll_std_6h,price_roll_std_24h,price_delta_1h,load_lag_24h,DE_load_forecast_entsoe_transparency
2018-10-14 23:00:00+00:00,30.86,0,0.0,14726.382800000001,0.0,12.841,0.0,0.0,23,6,10,-0.2588190451025215,0.9659258262890681,28205.0,0,0,0,34.93,27.0,31.32,20.75,21.44,43.97,45.88,50.3,56.1,32.925,34.935,29.068749999999998,4.559709420566369,12.45447547025307,-4.07,39536.0,42543.0
2018-10-15 00:00:00+00:00,29.05,0,0.0,13100.8056,0.0,12.526,0.0,0.0,0,0,10,0.0,1.0,29264.0,0,0,0,30.86,34.93,27.0,13.92,20.89,42.08,45.6,50.16,51.41,31.01,36.19583333333333,29.40875,2.79208882380233,12.332274839517495,-1.8099999999999987,38223.0,42000.0
2018-10-15 01:00:00+00:00,30.06,0,0.0,11725.3172,0.0,12.236,0.0,0.0,1,0,10,0.25881904510252074,0.9659258262890683,30965.0,0,0,0,29.05,30.86,34.93,19.54,19.52,39.14,45.64,47.32,47.38,30.536666666666672,37.0725,29.847916666666666,2.6444255834998636,12.151154884875627,1.009999999999998,38512.0,42340.0
2018-10-15 02:00:00+00:00,33.0,0,0.0,10720.1526,0.0,11.977,0.0,0.0,2,0,10,0.49999999999999994,0.8660254037844387,33838.0,0,0,0,30.06,29.05,30.86,20.74,20.72,42.74,45.8,47.94,47.59,30.816666666666663,38.094166666666666,30.359583333333333,2.8266210688149496,12.007780984289793,2.9400000000000013,38496.0,44203.0
2018-10-15 03:00:00+00:00,42.0,0,0.0,10272.878400000001,0.0,11.615,0.0,0.0,3,0,10,0.7071067811865475,0.7071067811865476,38593.0,0,0,0,33.0,30.06,29.05,42.82,20.79,43.91,49.64,51.14,51.61,33.31666666666666,38.02583333333333,31.243333333333336,4.752871412805982,12.053277622675093,9.0,38945.0,48504.0
2018-10-15 04:00:00+00:00,60.02,0,0.0,10244.021999999999,0.0,11.168,0.0,0.0,4,0,10,0.8660254037844386,0.5000000000000001,47560.0,0,0,0,42.0,33.0,30.06,56.56,22.07,48.34,56.65,62.79,69.13,37.49833333333333,38.31416666666667,32.82458333333333,11.987460809807386,13.229434566499052,18.020000000000003,39819.0,57427.0
2018-10-15 05:00:00+00:00,79.38,0,0.0,9936.2204,64.6352,10.775,0.0233253969901,0.17927460301,5,0,10,0.9659258262890683,0.25881904510252074,53964.0,0,0,0,60.02,42.0,33.0,68.09,25.86,58.18,69.87,79.98,77.32,45.585,39.255,35.05458333333333,20.179878840072362,16.185023130409434,19.359999999999992,42035.0,63556.0
2018-10-15 06:00:00+00:00,79.05,0,0.0,9556.2778,2682.3608,11.321,14.3766820218,29.5119179782,6,0,10,1.0,6.123233995736766e-17,54507.0,0,0,0,79.38,60.02,42.0,40.54,27.69,62.9,71.47,82.42,84.97,53.91833333333333,42.464166666666664,37.194583333333334,22.207975519318868,18.41126025471018,-0.3299999999999983,44937.0,66280.0
2018-10-15 07:00:00+00:00,74.72,0,0.0,7993.2228,8411.8096,13.731,102.148335095,69.5973649045,7,0,10,0.9659258262890683,-0.25881904510252063,51020.0,0,0,0,79.05,79.38,60.02,32.9,26.71,62.43,69.71,81.58,79.56,61.36166666666666,45.94916666666666,39.195,19.985198939882117,19.77987998380973,-4.329999999999998,47083.0,66892.0
2018-10-15 08:00:00+00:00,62.39,0,0.0,5213.3895999999995,14136.6416,16.009,223.859663812,81.1361361879,8,0,10,0.8660254037844388,-0.4999999999999998,48810.0,0,0,0,74.72,79.05,79.38,31.32,26.94,52.55,69.52,66.89,73.7,66.25999999999999,48.53833333333333,40.67208333333334,14.48966666283245,20.145195128748842,-12.329999999999998,48630.0,67603.0
